rank,condition,kind,n_features,runs,mean_score,std_score,median_score,mean_lines,std_lines,mean_pieces,truncated_runs,baseline_mean_score,baseline_mean_lines,mean_score_delta,std_score_delta,mean_score_delta_pct,mean_lines_delta,std_lines_delta,feature_indices,feature_names
28,vertical_hole_clusteredness_col_8,individual,1,100,546.2,537.744597857805,360.0,9.9,8.155682161238968,63.0,0,692.4,13.36,146.2,815.4948674197029,21.114962449451184,3.46,13.135209833639408,43,vertical_hole_clusteredness_col_8
29,fill_height_col_0,individual,1,100,546.4,648.5905776171415,440.0,10.42,9.7329804834341,64.54,0,692.4,13.36,146.0,839.4683262083631,21.086077411900636,2.94,12.684055050544858,0,fill_height_col_0
30,mean_hole_distance,individual,1,100,547.6,732.0306887644324,320.0,10.57,12.333132676500389,64.96,0,692.4,13.36,144.8,1039.9072219688785,20.912767186597346,2.79,16.89019499202679,93,mean_hole_distance
31,vertical_hole_depth_col_3,individual,1,100,548.0,624.5871363621659,360.0,11.27,11.93573278737913,66.83,0,692.4,13.36,144.4,913.5283136268847,20.854997111496246,2.09,15.322852148989691,28,vertical_hole_depth_col_3
32,holeyness_col_3,individual,1,100,554.8,473.8206624895333,450.0,11.55,9.143496888692823,66.97,0,692.4,13.36,137.6,795.62581936765,19.872905834777587,1.81,13.465027653033978,18,holeyness_col_3
33,horizontal_hole_edge_distance_row_16,individual,1,100,555.6,524.6149525936604,440.0,11.55,10.797843967359148,67.47,0,692.4,13.36,136.8,718.2679503394596,19.757365684575394,1.81,10.967992919712735,61,horizontal_hole_edge_distance_row_16
34,horizontal_hole_clusteredness_row_8,individual,1,100,555.6,569.2424879618616,380.0,10.97,10.402461829836826,65.88,0,692.4,13.36,136.8,708.9313055293834,19.757365684575394,2.39,11.399889242772263,73,horizontal_hole_clusteredness_row_8
35,horizontal_hole_edge_distance_row_5,individual,1,100,556.4,545.5597070343391,380.0,10.28,8.129109683257093,63.58,0,692.4,13.36,136.0,562.9073160518047,19.641825534373194,3.08,8.861082771241215,50,horizontal_hole_edge_distance_row_5
36,horizontal_hole_clusteredness_row_10,individual,1,100,559.0,512.8913878762011,420.0,11.22,9.034814817575333,66.39,0,692.4,13.36,133.4,722.0512587081475,19.266320046216062,2.14,11.572363456079142,75,horizontal_hole_clusteredness_row_10
37,fill_height_col_4,individual,1,100,561.4,537.5008010329949,380.0,11.19,9.588181909164653,66.46,0,692.4,13.36,131.0,850.741209805077,18.919699595609476,2.17,14.19848832471509,4,fill_height_col_4
38,horizontal_hole_clusteredness_row_7,individual,1,100,562.0,600.0303022651136,340.0,10.43,9.230225929362224,64.21,0,692.4,13.36,130.4,684.1671483407304,18.833044482957828,2.93,11.768177428981941,72,horizontal_hole_clusteredness_row_7
39,lowest_point,individual,1,100,570.6,648.3947855896113,370.0,11.2,10.755313462506226,65.97,0,692.4,13.36,121.8,932.5022057005355,17.59098786828423,2.16,14.430411209552126,13,lowest_point
40,vertical_hole_depth_col_4,individual,1,100,572.2,727.4190989069131,340.0,10.71,11.306827293027139,65.31,0,692.4,13.36,120.2,993.4675321185576,17.359907567879837,2.65,15.491525868595827,29,vertical_hole_depth_col_4
41,vertical_hole_depth_col_1,individual,1,100,572.4,580.029814629029,370.0,11.93,11.462063029354223,68.23,0,692.4,13.36,120.0,882.6040442859409,17.33102253032929,1.43,15.186553728262846,26,vertical_hole_depth_col_1
42,horizontal_hole_clusteredness_row_12,individual,1,100,578.6,623.5075433109503,340.0,11.47,10.746345397107772,66.98,0,692.4,13.36,113.8,833.5960555559172,16.435586366262278,1.89,14.179865509185404,77,horizontal_hole_clusteredness_row_12
43,horizontal_hole_clusteredness_row_6,individual,1,100,581.8,527.8207148935205,440.0,11.4,9.877021593352703,66.84,0,692.4,13.36,110.6,604.4311458727207,15.973425765453495,1.96,9.844159423103363,71,horizontal_hole_clusteredness_row_6
44,holeyness_col_9,individual,1,100,584.6,570.9807617626275,410.0,11.67,9.270410187823678,67.71,0,692.4,13.36,107.8,717.7681176445989,15.569035239745812,1.69,12.050981769804551,24,holeyness_col_9
45,vertical_hole_depth_col_9,individual,1,100,586.8,590.9090411810391,400.0,11.8,11.03804257277457,68.12,0,692.4,13.36,105.6,731.1542279509194,15.251299826689776,1.56,12.369169884691683,34,vertical_hole_depth_col_9
46,horizontal_hole_clusteredness_row_5,individual,1,100,587.0,505.9674201991965,470.0,11.31,7.971787374196199,66.53,0,692.4,13.36,105.4,458.1548853716382,15.222414789139226,2.05,6.965100592426951,70,horizontal_hole_clusteredness_row_5
47,horizontal_hole_edge_distance_row_12,individual,1,100,589.6,667.8563929589666,410.0,12.02,12.622714814687422,68.65,0,692.4,13.36,102.8,870.1098038219491,14.846909300982091,1.34,15.272091136343041,57,horizontal_hole_edge_distance_row_12
48,horizontal_hole_clusteredness_row_11,individual,1,100,592.6,495.93625364230803,490.0,12.0,9.282328164938804,68.49,0,692.4,13.36,99.8,703.8852925374312,14.41363373772386,1.36,11.597213179697679,76,horizontal_hole_clusteredness_row_11
49,horizontal_hole_clusteredness_row_16,individual,1,100,597.0,563.6990027102812,420.0,11.63,8.853071144346954,67.49,0,692.4,13.36,95.4,795.501772912588,13.778162911611785,1.73,12.40304214882198,81,horizontal_hole_clusteredness_row_16
50,hole_depth_deviation,individual,1,100,597.4,596.2621279710169,400.0,11.38,10.020967916314172,66.86,0,692.4,13.36,95.0,899.8063764785817,13.720392836510689,1.98,14.890835090651219,87,hole_depth_deviation
51,mean_hole_depth,individual,1,100,597.8,670.7504917793368,410.0,11.48,10.76233612130186,67.0,0,692.4,13.36,94.6,968.2885244939479,13.66262276140959,1.88,15.718662908668906,85,mean_hole_depth
52,horizontal_hole_edge_distance_row_8,individual,1,100,599.4,723.7023496639284,350.0,10.66,9.318407979517064,65.21,0,692.4,13.36,93.0,932.8413205325594,13.4315424610052,2.7,13.710940849916135,53,horizontal_hole_edge_distance_row_8
53,vertical_hole_depth_col_7,individual,1,100,603.8,686.5206964590847,380.0,11.66,11.235963184652604,67.46,0,692.4,13.36,88.6,940.3427486020641,12.796071634893126,1.7,15.186716683877513,32,vertical_hole_depth_col_7
54,vertical_hole_clusteredness_col_5,individual,1,100,604.2,637.3828749605133,390.0,11.37,9.940890962650839,66.36,0,692.4,13.36,88.2,882.1099361156405,12.738301559792028,1.99,14.072320420605907,40,vertical_hole_clusteredness_col_5
55,holeyness_col_1,individual,1,100,607.0,759.8318527440426,440.0,12.69,14.144060394541748,69.89,0,692.4,13.36,85.4,1020.532065625425,12.333911034084345,0.67,17.61487835308378,16,holeyness_col_1
56,total_holeyness,individual,1,100,611.0,564.6443414426751,490.0,11.98,9.97266972350641,68.71,0,692.4,13.36,81.4,882.7516895789809,11.75621028307337,1.38,14.87305203270925,10,total_holeyness
