condition,seed,score,lines,pieces,truncated
holeyness_col_8,16,1600.0,34,124,False
holeyness_col_8,17,420.0,10,63,False
holeyness_col_8,18,300.0,7,60,False
holeyness_col_8,19,760.0,17,82,False
holeyness_col_8,20,1080.0,25,102,False
holeyness_col_8,21,680.0,16,81,False
holeyness_col_8,22,460.0,7,52,False
holeyness_col_8,23,200.0,5,52,False
holeyness_col_8,24,800.0,15,76,False
holeyness_col_8,25,680.0,16,80,False
holeyness_col_8,26,40.0,1,40,False
holeyness_col_8,27,1500.0,11,67,False
holeyness_col_8,28,80.0,2,41,False
holeyness_col_8,29,580.0,14,75,False
holeyness_col_8,30,200.0,5,47,False
holeyness_col_8,31,280.0,7,58,False
holeyness_col_8,32,980.0,20,85,False
holeyness_col_8,33,0.0,0,35,False
holeyness_col_8,34,80.0,2,44,False
holeyness_col_8,35,120.0,3,44,False
holeyness_col_8,36,40.0,1,41,False
holeyness_col_8,37,0.0,0,38,False
holeyness_col_8,38,3080.0,41,144,False
holeyness_col_8,39,1320.0,30,112,False
holeyness_col_8,40,2280.0,29,113,False
holeyness_col_8,41,340.0,8,60,False
holeyness_col_8,42,2040.0,24,103,False
holeyness_col_8,43,1380.0,28,109,False
holeyness_col_8,44,80.0,2,42,False
holeyness_col_8,45,860.0,21,91,False
holeyness_col_8,46,580.0,14,73,False
holeyness_col_8,47,400.0,9,62,False
holeyness_col_8,48,280.0,7,54,False
holeyness_col_8,49,3160.0,34,125,False
holeyness_col_8,50,120.0,3,44,False
holeyness_col_8,51,240.0,5,51,False
holeyness_col_8,52,80.0,2,46,False
holeyness_col_8,53,640.0,15,77,False
holeyness_col_8,54,40.0,1,42,False
holeyness_col_8,55,460.0,11,67,False
holeyness_col_8,56,520.0,12,68,False
holeyness_col_8,57,360.0,9,61,False
holeyness_col_8,58,360.0,8,59,False
holeyness_col_8,59,300.0,7,57,False
holeyness_col_8,60,380.0,5,51,False
holeyness_col_8,61,100.0,2,42,False
holeyness_col_8,62,480.0,11,65,False
holeyness_col_8,63,560.0,13,71,False
holeyness_col_8,64,1220.0,25,103,False
holeyness_col_8,65,80.0,2,44,False
holeyness_col_8,66,40.0,1,39,False
holeyness_col_8,67,140.0,3,45,False
holeyness_col_8,68,360.0,8,59,False
holeyness_col_8,69,1440.0,29,112,False
holeyness_col_8,70,2220.0,43,148,False
holeyness_col_8,71,240.0,6,55,False
holeyness_col_8,72,220.0,5,49,False
holeyness_col_8,73,640.0,15,79,False
holeyness_col_8,74,1680.0,15,76,False
holeyness_col_8,75,240.0,6,54,False
holeyness_col_8,76,180.0,4,45,False
holeyness_col_8,77,40.0,1,39,False
holeyness_col_8,78,240.0,6,53,False
holeyness_col_8,79,1400.0,33,122,False
holeyness_col_8,80,0.0,0,37,False
holeyness_col_8,81,460.0,11,68,False
holeyness_col_8,82,1100.0,26,103,False
holeyness_col_8,83,40.0,1,40,False
holeyness_col_8,84,100.0,2,44,False
holeyness_col_8,85,120.0,3,48,False
holeyness_col_8,86,420.0,10,63,False
holeyness_col_8,87,200.0,5,54,False
holeyness_col_8,88,40.0,1,40,False
holeyness_col_8,89,560.0,14,75,False
holeyness_col_8,90,1640.0,14,75,False
holeyness_col_8,91,400.0,9,64,False
holeyness_col_8,92,160.0,4,45,False
holeyness_col_8,93,280.0,6,53,False
holeyness_col_8,94,620.0,15,76,False
holeyness_col_8,95,140.0,3,45,False
holeyness_col_8,96,160.0,4,50,False
holeyness_col_8,97,340.0,4,48,False
holeyness_col_8,98,280.0,7,54,False
holeyness_col_8,99,1200.0,24,98,False
holeyness_col_9,0,80.0,2,43,False
holeyness_col_9,1,540.0,12,70,False
holeyness_col_9,2,340.0,8,56,False
holeyness_col_9,3,140.0,3,41,False
holeyness_col_9,4,120.0,3,46,False
holeyness_col_9,5,180.0,4,51,False
holeyness_col_9,6,120.0,3,44,False
holeyness_col_9,7,1480.0,30,116,False
holeyness_col_9,8,660.0,15,77,False
holeyness_col_9,9,1180.0,27,107,False
holeyness_col_9,10,160.0,4,46,False
holeyness_col_9,11,380.0,9,63,False
holeyness_col_9,12,420.0,10,65,False
holeyness_col_9,13,1100.0,21,93,False
holeyness_col_9,14,960.0,23,96,False
holeyness_col_9,15,1160.0,27,106,False
holeyness_col_9,16,400.0,9,60,False
holeyness_col_9,17,80.0,2,42,False
holeyness_col_9,18,80.0,2,45,False
holeyness_col_9,19,980.0,23,95,False
holeyness_col_9,20,40.0,1,37,False
holeyness_col_9,21,540.0,13,71,False
holeyness_col_9,22,580.0,13,71,False
holeyness_col_9,23,360.0,8,60,False
holeyness_col_9,24,780.0,10,64,False
holeyness_col_9,25,40.0,1,39,False
holeyness_col_9,26,200.0,5,50,False
holeyness_col_9,27,460.0,11,65,False
holeyness_col_9,28,460.0,11,67,False
holeyness_col_9,29,40.0,1,37,False
holeyness_col_9,30,880.0,13,71,False
holeyness_col_9,31,240.0,6,54,False
holeyness_col_9,32,1800.0,33,119,False
holeyness_col_9,33,380.0,9,59,False
holeyness_col_9,34,440.0,10,64,False
holeyness_col_9,35,80.0,2,44,False
holeyness_col_9,36,300.0,7,56,False
holeyness_col_9,37,80.0,2,42,False
holeyness_col_9,38,2720.0,35,129,False
holeyness_col_9,39,780.0,19,88,False
holeyness_col_9,40,400.0,10,67,False
holeyness_col_9,41,1120.0,22,95,False
holeyness_col_9,42,120.0,3,48,False
holeyness_col_9,43,960.0,18,86,False
holeyness_col_9,44,3060.0,40,138,False
holeyness_col_9,45,480.0,11,66,False
holeyness_col_9,46,480.0,7,54,False
holeyness_col_9,47,40.0,1,40,False
holeyness_col_9,48,820.0,20,84,False
holeyness_col_9,49,240.0,6,54,False
holeyness_col_9,50,900.0,21,93,False
holeyness_col_9,51,940.0,19,89,False
holeyness_col_9,52,320.0,8,61,False
holeyness_col_9,53,320.0,8,58,False
holeyness_col_9,54,1640.0,35,129,False
holeyness_col_9,55,240.0,6,52,False
holeyness_col_9,56,1240.0,20,85,False
holeyness_col_9,57,80.0,2,43,False
holeyness_col_9,58,480.0,10,65,False
holeyness_col_9,59,240.0,6,56,False
holeyness_col_9,60,360.0,9,63,False
holeyness_col_9,61,160.0,4,48,False
holeyness_col_9,62,80.0,2,39,False
holeyness_col_9,63,500.0,11,69,False
holeyness_col_9,64,360.0,8,60,False
holeyness_col_9,65,1060.0,25,101,False
holeyness_col_9,66,560.0,13,72,False
holeyness_col_9,67,120.0,3,45,False
holeyness_col_9,68,700.0,16,80,False
holeyness_col_9,69,40.0,1,40,False
holeyness_col_9,70,2180.0,24,100,False
holeyness_col_9,71,280.0,6,53,False
holeyness_col_9,72,700.0,17,83,False
holeyness_col_9,73,80.0,2,43,False
holeyness_col_9,74,180.0,4,49,False
holeyness_col_9,75,220.0,5,47,False
holeyness_col_9,76,1140.0,23,94,False
holeyness_col_9,77,280.0,7,54,False
holeyness_col_9,78,180.0,4,49,False
holeyness_col_9,79,360.0,9,64,False
holeyness_col_9,80,100.0,2,40,False
holeyness_col_9,81,700.0,16,79,False
holeyness_col_9,82,240.0,6,54,False
holeyness_col_9,83,620.0,11,63,False
holeyness_col_9,84,40.0,1,41,False
holeyness_col_9,85,1280.0,26,104,False
holeyness_col_9,86,360.0,8,59,False
holeyness_col_9,87,0.0,0,38,False
holeyness_col_9,88,400.0,10,63,False
holeyness_col_9,89,520.0,12,68,False
holeyness_col_9,90,1780.0,18,83,False
holeyness_col_9,91,220.0,5,50,False
holeyness_col_9,92,600.0,10,63,False
holeyness_col_9,93,1800.0,36,130,False
holeyness_col_9,94,420.0,10,65,False
holeyness_col_9,95,780.0,18,84,False
holeyness_col_9,96,420.0,10,65,False
holeyness_col_9,97,1100.0,18,86,False
holeyness_col_9,98,440.0,11,66,False
holeyness_col_9,99,1220.0,26,105,False
vertical_hole_depth_col_0,0,560.0,14,74,False
vertical_hole_depth_col_0,1,80.0,2,44,False
vertical_hole_depth_col_0,2,340.0,8,59,False
vertical_hole_depth_col_0,3,120.0,3,46,False
vertical_hole_depth_col_0,4,160.0,4,46,False
vertical_hole_depth_col_0,5,360.0,8,57,False
vertical_hole_depth_col_0,6,360.0,9,63,False
vertical_hole_depth_col_0,7,300.0,7,56,False
vertical_hole_depth_col_0,8,760.0,18,84,False
vertical_hole_depth_col_0,9,80.0,2,43,False
vertical_hole_depth_col_0,10,340.0,4,45,False
vertical_hole_depth_col_0,11,180.0,4,42,False
vertical_hole_depth_col_0,12,80.0,2,39,False
vertical_hole_depth_col_0,13,40.0,1,39,False
vertical_hole_depth_col_0,14,580.0,14,72,False
vertical_hole_depth_col_0,15,200.0,4,45,False
vertical_hole_depth_col_0,16,120.0,3,47,False
vertical_hole_depth_col_0,17,0.0,0,36,False
vertical_hole_depth_col_0,18,120.0,3,42,False
vertical_hole_depth_col_0,19,680.0,16,79,False
vertical_hole_depth_col_0,20,320.0,8,57,False
vertical_hole_depth_col_0,21,140.0,3,45,False
vertical_hole_depth_col_0,22,240.0,6,52,False
vertical_hole_depth_col_0,23,520.0,11,66,False
vertical_hole_depth_col_0,24,280.0,7,54,False
vertical_hole_depth_col_0,25,160.0,4,50,False
vertical_hole_depth_col_0,26,220.0,5,53,False
vertical_hole_depth_col_0,27,160.0,4,48,False
vertical_hole_depth_col_0,28,160.0,4,45,False
vertical_hole_depth_col_0,29,180.0,4,49,False
vertical_hole_depth_col_0,30,140.0,3,45,False
vertical_hole_depth_col_0,31,200.0,5,48,False
vertical_hole_depth_col_0,32,2100.0,42,143,False
vertical_hole_depth_col_0,33,1100.0,22,92,False
vertical_hole_depth_col_0,34,340.0,8,56,False
vertical_hole_depth_col_0,35,480.0,11,63,False
vertical_hole_depth_col_0,36,140.0,3,45,False
vertical_hole_depth_col_0,37,180.0,4,49,False
vertical_hole_depth_col_0,38,80.0,2,39,False
vertical_hole_depth_col_0,39,220.0,5,51,False
vertical_hole_depth_col_0,40,500.0,8,60,False
vertical_hole_depth_col_0,41,1980.0,37,131,False
vertical_hole_depth_col_0,42,100.0,2,40,False
vertical_hole_depth_col_0,43,380.0,9,61,False
vertical_hole_depth_col_0,44,600.0,14,75,False
vertical_hole_depth_col_0,45,120.0,3,45,False
vertical_hole_depth_col_0,46,260.0,6,50,False
vertical_hole_depth_col_0,47,0.0,0,37,False
vertical_hole_depth_col_0,48,580.0,13,68,False
vertical_hole_depth_col_0,49,80.0,2,42,False
vertical_hole_depth_col_0,50,400.0,10,60,False
vertical_hole_depth_col_0,51,180.0,4,48,False
vertical_hole_depth_col_0,52,80.0,2,45,False
vertical_hole_depth_col_0,53,40.0,1,38,False
vertical_hole_depth_col_0,54,680.0,12,66,False
vertical_hole_depth_col_0,55,600.0,14,73,False
vertical_hole_depth_col_0,56,120.0,3,45,False
vertical_hole_depth_col_0,57,40.0,1,37,False
vertical_hole_depth_col_0,58,460.0,11,63,False
vertical_hole_depth_col_0,59,420.0,10,62,False
vertical_hole_depth_col_0,60,220.0,5,51,False
vertical_hole_depth_col_0,61,80.0,2,42,False
vertical_hole_depth_col_0,62,80.0,2,43,False
vertical_hole_depth_col_0,63,180.0,4,47,False
vertical_hole_depth_col_0,64,700.0,16,80,False
vertical_hole_depth_col_0,65,40.0,1,38,False
vertical_hole_depth_col_0,66,100.0,2,42,False
vertical_hole_depth_col_0,67,1140.0,23,93,False
vertical_hole_depth_col_0,68,520.0,12,66,False
vertical_hole_depth_col_0,69,120.0,3,42,False
vertical_hole_depth_col_0,70,160.0,4,47,False
vertical_hole_depth_col_0,71,420.0,10,65,False
vertical_hole_depth_col_0,72,180.0,4,48,False
vertical_hole_depth_col_0,73,600.0,14,75,False
vertical_hole_depth_col_0,74,1700.0,15,76,False
vertical_hole_depth_col_0,75,40.0,1,40,False
vertical_hole_depth_col_0,76,280.0,7,53,False
vertical_hole_depth_col_0,77,540.0,9,59,False
vertical_hole_depth_col_0,78,120.0,3,46,False
vertical_hole_depth_col_0,79,600.0,10,58,False
vertical_hole_depth_col_0,80,280.0,6,50,False
vertical_hole_depth_col_0,81,40.0,1,38,False
vertical_hole_depth_col_0,82,140.0,3,45,False
vertical_hole_depth_col_0,83,340.0,8,59,False
vertical_hole_depth_col_0,84,80.0,2,38,False
vertical_hole_depth_col_0,85,360.0,9,61,False
vertical_hole_depth_col_0,86,360.0,9,61,False
vertical_hole_depth_col_0,87,140.0,3,45,False
vertical_hole_depth_col_0,88,220.0,5,50,False
vertical_hole_depth_col_0,89,220.0,5,48,False
vertical_hole_depth_col_0,90,440.0,10,66,False
vertical_hole_depth_col_0,91,840.0,20,89,False
vertical_hole_depth_col_0,92,340.0,8,58,False
vertical_hole_depth_col_0,93,200.0,5,49,False
vertical_hole_depth_col_0,94,220.0,5,49,False
vertical_hole_depth_col_0,95,0.0,0,37,False
vertical_hole_depth_col_0,96,0.0,0,32,False
vertical_hole_depth_col_0,97,40.0,1,40,False
vertical_hole_depth_col_0,98,300.0,7,53,False
vertical_hole_depth_col_0,99,160.0,4,44,False
vertical_hole_depth_col_1,0,1320.0,31,117,False
vertical_hole_depth_col_1,1,540.0,13,74,False
vertical_hole_depth_col_1,2,140.0,3,43,False
vertical_hole_depth_col_1,3,180.0,4,49,False
vertical_hole_depth_col_1,4,300.0,7,58,False
vertical_hole_depth_col_1,5,80.0,2,44,False
vertical_hole_depth_col_1,6,580.0,13,71,False
vertical_hole_depth_col_1,7,1400.0,31,116,False
vertical_hole_depth_col_1,8,500.0,12,70,False
vertical_hole_depth_col_1,9,1880.0,35,128,False
vertical_hole_depth_col_1,10,280.0,7,53,False
vertical_hole_depth_col_1,11,660.0,15,74,False
vertical_hole_depth_col_1,12,1800.0,14,74,False
vertical_hole_depth_col_1,13,440.0,10,63,False
vertical_hole_depth_col_1,14,2000.0,23,94,False
vertical_hole_depth_col_1,15,420.0,10,62,False
vertical_hole_depth_col_1,16,740.0,18,78,False
vertical_hole_depth_col_1,17,0.0,0,35,False
vertical_hole_depth_col_1,18,0.0,0,39,False
vertical_hole_depth_col_1,19,360.0,9,60,False
vertical_hole_depth_col_1,20,480.0,7,57,False
vertical_hole_depth_col_1,21,320.0,8,58,False
vertical_hole_depth_col_1,22,280.0,7,58,False
vertical_hole_depth_col_1,23,400.0,9,62,False
vertical_hole_depth_col_1,24,440.0,11,64,False
vertical_hole_depth_col_1,25,1940.0,36,129,False
vertical_hole_depth_col_1,26,0.0,0,38,False
vertical_hole_depth_col_1,27,40.0,1,41,False
vertical_hole_depth_col_1,28,40.0,1,39,False
vertical_hole_depth_col_1,29,820.0,20,89,False
vertical_hole_depth_col_1,30,200.0,5,52,False
vertical_hole_depth_col_1,31,340.0,8,59,False
vertical_hole_depth_col_1,32,40.0,1,39,False
vertical_hole_depth_col_1,33,300.0,7,54,False
vertical_hole_depth_col_1,34,340.0,8,60,False
vertical_hole_depth_col_1,35,560.0,14,73,False
vertical_hole_depth_col_1,36,40.0,1,39,False
vertical_hole_depth_col_1,37,860.0,20,89,False
vertical_hole_depth_col_1,38,820.0,14,77,False
vertical_hole_depth_col_1,39,1460.0,33,122,False
vertical_hole_depth_col_1,40,560.0,12,65,False
vertical_hole_depth_col_1,41,240.0,6,53,False
vertical_hole_depth_col_1,42,160.0,4,50,False
vertical_hole_depth_col_1,43,2820.0,64,203,False
vertical_hole_depth_col_1,44,620.0,10,65,False
vertical_hole_depth_col_1,45,1060.0,21,91,False
vertical_hole_depth_col_1,46,300.0,7,56,False
vertical_hole_depth_col_1,47,700.0,16,79,False
vertical_hole_depth_col_1,48,320.0,8,58,False
vertical_hole_depth_col_1,49,420.0,10,63,False
vertical_hole_depth_col_1,50,980.0,22,94,False
vertical_hole_depth_col_1,51,180.0,4,48,False
vertical_hole_depth_col_1,52,320.0,8,59,False
vertical_hole_depth_col_1,53,520.0,12,70,False
vertical_hole_depth_col_1,54,340.0,8,57,False
vertical_hole_depth_col_1,55,720.0,17,81,False
vertical_hole_depth_col_1,56,220.0,5,48,False
vertical_hole_depth_col_1,57,40.0,1,41,False
vertical_hole_depth_col_1,58,1940.0,42,147,False
vertical_hole_depth_col_1,59,820.0,18,83,False
vertical_hole_depth_col_1,60,400.0,9,64,False
vertical_hole_depth_col_1,61,40.0,1,38,False
vertical_hole_depth_col_1,62,180.0,4,48,False
vertical_hole_depth_col_1,63,2060.0,43,146,False
vertical_hole_depth_col_1,64,1140.0,25,100,False
vertical_hole_depth_col_1,65,1120.0,22,92,False
vertical_hole_depth_col_1,66,1260.0,25,101,False
vertical_hole_depth_col_1,67,700.0,16,80,False
vertical_hole_depth_col_1,68,780.0,18,82,False
vertical_hole_depth_col_1,69,0.0,0,37,False
vertical_hole_depth_col_1,70,920.0,22,94,False
vertical_hole_depth_col_1,71,220.0,5,53,False
vertical_hole_depth_col_1,72,180.0,4,50,False
vertical_hole_depth_col_1,73,360.0,9,63,False
vertical_hole_depth_col_1,74,1000.0,19,87,False
vertical_hole_depth_col_1,75,220.0,5,49,False
vertical_hole_depth_col_1,76,380.0,8,61,False
vertical_hole_depth_col_1,77,0.0,0,34,False
vertical_hole_depth_col_1,78,600.0,15,78,False
vertical_hole_depth_col_1,79,100.0,2,40,False
vertical_hole_depth_col_1,80,120.0,3,48,False
vertical_hole_depth_col_1,81,40.0,1,34,False
vertical_hole_depth_col_1,82,0.0,0,39,False
vertical_hole_depth_col_1,83,40.0,1,40,False
vertical_hole_depth_col_1,84,360.0,8,59,False
vertical_hole_depth_col_1,85,80.0,2,45,False
vertical_hole_depth_col_1,86,740.0,13,70,False
vertical_hole_depth_col_1,87,80.0,2,43,False
vertical_hole_depth_col_1,88,300.0,7,55,False
vertical_hole_depth_col_1,89,640.0,14,73,False
vertical_hole_depth_col_1,90,960.0,22,96,False
vertical_hole_depth_col_1,91,1020.0,22,95,False
vertical_hole_depth_col_1,92,200.0,5,51,False
vertical_hole_depth_col_1,93,140.0,3,45,False
vertical_hole_depth_col_1,94,1320.0,19,89,False
vertical_hole_depth_col_1,95,160.0,4,51,False
vertical_hole_depth_col_1,96,80.0,2,43,False
vertical_hole_depth_col_1,97,2220.0,43,145,False
vertical_hole_depth_col_1,98,380.0,5,50,False
vertical_hole_depth_col_1,99,80.0,2,43,False
vertical_hole_depth_col_2,0,0.0,0,35,False
vertical_hole_depth_col_2,1,220.0,5,50,False
vertical_hole_depth_col_2,2,480.0,11,66,False
vertical_hole_depth_col_2,3,360.0,8,55,False
vertical_hole_depth_col_2,4,240.0,6,56,False
vertical_hole_depth_col_2,5,400.0,9,62,False
vertical_hole_depth_col_2,6,880.0,21,94,False
vertical_hole_depth_col_2,7,840.0,16,76,False
vertical_hole_depth_col_2,8,620.0,15,76,False
vertical_hole_depth_col_2,9,280.0,7,57,False
vertical_hole_depth_col_2,10,80.0,2,45,False
vertical_hole_depth_col_2,11,1320.0,7,54,False
vertical_hole_depth_col_2,12,0.0,0,36,False
vertical_hole_depth_col_2,13,200.0,5,49,False
vertical_hole_depth_col_2,14,660.0,15,79,False
vertical_hole_depth_col_2,15,380.0,9,62,False
vertical_hole_depth_col_2,16,880.0,16,78,False
vertical_hole_depth_col_2,17,120.0,3,47,False
vertical_hole_depth_col_2,18,40.0,1,39,False
vertical_hole_depth_col_2,19,980.0,19,85,False
vertical_hole_depth_col_2,20,40.0,1,39,False
vertical_hole_depth_col_2,21,120.0,3,43,False
vertical_hole_depth_col_2,22,240.0,6,57,False
vertical_hole_depth_col_2,23,900.0,17,82,False
vertical_hole_depth_col_2,24,840.0,20,90,False
vertical_hole_depth_col_2,25,980.0,19,84,False
vertical_hole_depth_col_2,26,100.0,2,42,False
vertical_hole_depth_col_2,27,460.0,11,67,False
vertical_hole_depth_col_2,28,400.0,9,61,False
vertical_hole_depth_col_2,29,200.0,5,49,False
vertical_hole_depth_col_2,30,640.0,15,76,False
vertical_hole_depth_col_2,31,220.0,5,53,False
vertical_hole_depth_col_2,32,1000.0,23,97,False
vertical_hole_depth_col_2,33,160.0,4,46,False
vertical_hole_depth_col_2,34,340.0,8,60,False
vertical_hole_depth_col_2,35,80.0,2,44,False
vertical_hole_depth_col_2,36,300.0,7,58,False
vertical_hole_depth_col_2,37,240.0,6,52,False
vertical_hole_depth_col_2,38,280.0,7,56,False
vertical_hole_depth_col_2,39,500.0,12,67,False
vertical_hole_depth_col_2,40,1540.0,28,112,False
vertical_hole_depth_col_2,41,800.0,19,87,False
vertical_hole_depth_col_2,42,80.0,2,44,False
vertical_hole_depth_col_2,43,820.0,15,77,False
vertical_hole_depth_col_2,44,420.0,10,59,False
vertical_hole_depth_col_2,45,360.0,8,59,False
vertical_hole_depth_col_2,46,40.0,1,40,False
vertical_hole_depth_col_2,47,2380.0,32,120,False
vertical_hole_depth_col_2,48,380.0,8,60,False
vertical_hole_depth_col_2,49,160.0,4,49,False
vertical_hole_depth_col_2,50,1380.0,28,112,False
vertical_hole_depth_col_2,51,120.0,3,43,False
vertical_hole_depth_col_2,52,240.0,5,49,False
vertical_hole_depth_col_2,53,40.0,1,36,False
vertical_hole_depth_col_2,54,600.0,10,64,False
vertical_hole_depth_col_2,55,320.0,8,59,False
vertical_hole_depth_col_2,56,120.0,3,42,False
vertical_hole_depth_col_2,57,80.0,2,42,False
vertical_hole_depth_col_2,58,460.0,11,67,False
vertical_hole_depth_col_2,59,120.0,3,47,False
vertical_hole_depth_col_2,60,80.0,2,44,False
vertical_hole_depth_col_2,61,420.0,6,51,False
vertical_hole_depth_col_2,62,420.0,10,63,False
vertical_hole_depth_col_2,63,220.0,5,51,False
vertical_hole_depth_col_2,64,80.0,2,43,False
vertical_hole_depth_col_2,65,80.0,2,41,False
vertical_hole_depth_col_2,66,840.0,20,90,False
vertical_hole_depth_col_2,67,260.0,6,52,False
vertical_hole_depth_col_2,68,1540.0,31,115,False
vertical_hole_depth_col_2,69,40.0,1,37,False
vertical_hole_depth_col_2,70,240.0,6,53,False
vertical_hole_depth_col_2,71,400.0,9,59,False
vertical_hole_depth_col_2,72,460.0,11,64,False
vertical_hole_depth_col_2,73,920.0,18,86,False
vertical_hole_depth_col_2,74,1280.0,26,104,False
vertical_hole_depth_col_2,75,280.0,7,53,False
vertical_hole_depth_col_2,76,140.0,3,40,False
vertical_hole_depth_col_2,77,40.0,1,39,False
vertical_hole_depth_col_2,78,80.0,2,43,False
vertical_hole_depth_col_2,79,1600.0,33,120,False
vertical_hole_depth_col_2,80,80.0,2,44,False
vertical_hole_depth_col_2,81,1240.0,26,105,False
vertical_hole_depth_col_2,82,320.0,8,58,False
vertical_hole_depth_col_2,83,2340.0,27,108,False
vertical_hole_depth_col_2,84,800.0,19,87,False
vertical_hole_depth_col_2,85,420.0,10,64,False
vertical_hole_depth_col_2,86,460.0,11,68,False
vertical_hole_depth_col_2,87,280.0,7,57,False
vertical_hole_depth_col_2,88,200.0,5,50,False
vertical_hole_depth_col_2,89,980.0,19,85,False
vertical_hole_depth_col_2,90,600.0,14,75,False
vertical_hole_depth_col_2,91,480.0,11,66,False
vertical_hole_depth_col_2,92,320.0,7,54,False
vertical_hole_depth_col_2,93,360.0,9,63,False
vertical_hole_depth_col_2,94,620.0,15,75,False
vertical_hole_depth_col_2,95,80.0,2,42,False
vertical_hole_depth_col_2,96,580.0,14,73,False
vertical_hole_depth_col_2,97,2320.0,26,105,False
vertical_hole_depth_col_2,98,440.0,11,66,False
vertical_hole_depth_col_2,99,780.0,19,87,False
vertical_hole_depth_col_3,0,220.0,5,52,False
vertical_hole_depth_col_3,1,2320.0,22,96,False
vertical_hole_depth_col_3,2,880.0,20,90,False
vertical_hole_depth_col_3,3,480.0,12,67,False
vertical_hole_depth_col_3,4,3360.0,69,214,False
vertical_hole_depth_col_3,5,0.0,0,37,False
vertical_hole_depth_col_3,6,120.0,3,48,False
vertical_hole_depth_col_3,7,2380.0,53,172,False
vertical_hole_depth_col_3,8,640.0,14,74,False
vertical_hole_depth_col_3,9,320.0,8,61,False
vertical_hole_depth_col_3,10,660.0,15,76,False
vertical_hole_depth_col_3,11,80.0,2,45,False
vertical_hole_depth_col_3,12,0.0,0,39,False
vertical_hole_depth_col_3,13,80.0,2,45,False
vertical_hole_depth_col_3,14,600.0,15,76,False
vertical_hole_depth_col_3,15,360.0,8,56,False
vertical_hole_depth_col_3,16,300.0,7,58,False
vertical_hole_depth_col_3,17,0.0,0,33,False
vertical_hole_depth_col_3,18,120.0,3,48,False
vertical_hole_depth_col_3,19,40.0,1,41,False
vertical_hole_depth_col_3,20,320.0,7,58,False
vertical_hole_depth_col_3,21,720.0,13,72,False
vertical_hole_depth_col_3,22,280.0,6,53,False
vertical_hole_depth_col_3,23,80.0,2,43,False
vertical_hole_depth_col_3,24,700.0,13,71,False
vertical_hole_depth_col_3,25,2600.0,32,119,False
vertical_hole_depth_col_3,26,1280.0,29,110,False
vertical_hole_depth_col_3,27,520.0,12,68,False
vertical_hole_depth_col_3,28,160.0,4,49,False
vertical_hole_depth_col_3,29,440.0,10,63,False
vertical_hole_depth_col_3,30,220.0,5,52,False
vertical_hole_depth_col_3,31,340.0,4,46,False
vertical_hole_depth_col_3,32,600.0,10,65,False
vertical_hole_depth_col_3,33,0.0,0,38,False
vertical_hole_depth_col_3,34,640.0,11,66,False
vertical_hole_depth_col_3,35,80.0,2,45,False
vertical_hole_depth_col_3,36,660.0,15,77,False
vertical_hole_depth_col_3,37,220.0,5,50,False
vertical_hole_depth_col_3,38,520.0,12,69,False
vertical_hole_depth_col_3,39,1580.0,32,122,False
vertical_hole_depth_col_3,40,80.0,2,42,False
vertical_hole_depth_col_3,41,1640.0,35,127,False
vertical_hole_depth_col_3,42,220.0,5,52,False
vertical_hole_depth_col_3,43,520.0,13,72,False
vertical_hole_depth_col_3,44,220.0,5,50,False
vertical_hole_depth_col_3,45,780.0,14,75,False
vertical_hole_depth_col_3,46,200.0,5,53,False
vertical_hole_depth_col_3,47,380.0,9,60,False
vertical_hole_depth_col_3,48,0.0,0,39,False
vertical_hole_depth_col_3,49,1200.0,29,109,False
vertical_hole_depth_col_3,50,540.0,13,70,False
vertical_hole_depth_col_3,51,1100.0,22,97,False
vertical_hole_depth_col_3,52,560.0,12,68,False
vertical_hole_depth_col_3,53,1560.0,37,130,False
vertical_hole_depth_col_3,54,180.0,4,49,False
vertical_hole_depth_col_3,55,640.0,15,77,False
vertical_hole_depth_col_3,56,380.0,9,62,False
vertical_hole_depth_col_3,57,120.0,3,45,False
vertical_hole_depth_col_3,58,380.0,9,63,False
vertical_hole_depth_col_3,59,40.0,1,42,False
vertical_hole_depth_col_3,60,220.0,5,52,False
vertical_hole_depth_col_3,61,260.0,6,52,False
vertical_hole_depth_col_3,62,240.0,6,50,False
vertical_hole_depth_col_3,63,40.0,1,37,False
vertical_hole_depth_col_3,64,880.0,17,81,False
vertical_hole_depth_col_3,65,600.0,10,63,False
vertical_hole_depth_col_3,66,500.0,12,70,False
vertical_hole_depth_col_3,67,1000.0,19,88,False
vertical_hole_depth_col_3,68,1060.0,17,83,False
vertical_hole_depth_col_3,69,0.0,0,37,False
vertical_hole_depth_col_3,70,640.0,11,65,False
vertical_hole_depth_col_3,71,320.0,8,59,False
vertical_hole_depth_col_3,72,240.0,6,55,False
vertical_hole_depth_col_3,73,40.0,1,41,False
vertical_hole_depth_col_3,74,0.0,0,35,False
vertical_hole_depth_col_3,75,200.0,5,51,False
vertical_hole_depth_col_3,76,200.0,5,49,False
vertical_hole_depth_col_3,77,320.0,7,59,False
vertical_hole_depth_col_3,78,680.0,17,81,False
vertical_hole_depth_col_3,79,500.0,12,69,False
vertical_hole_depth_col_3,80,160.0,4,50,False
vertical_hole_depth_col_3,81,720.0,9,61,False
vertical_hole_depth_col_3,82,1440.0,25,101,False
vertical_hole_depth_col_3,83,760.0,17,84,False
vertical_hole_depth_col_3,84,0.0,0,36,False
