condition,seed,score,lines,pieces,truncated
fill_height_col_0,73,480.0,7,57,False
fill_height_col_0,74,880.0,16,78,False
fill_height_col_0,75,680.0,12,70,False
fill_height_col_0,76,40.0,1,40,False
fill_height_col_0,77,360.0,8,60,False
fill_height_col_0,78,520.0,13,71,False
fill_height_col_0,79,0.0,0,37,False
fill_height_col_0,80,140.0,3,45,False
fill_height_col_0,81,0.0,0,34,False
fill_height_col_0,82,120.0,3,45,False
fill_height_col_0,83,80.0,2,43,False
fill_height_col_0,84,80.0,2,44,False
fill_height_col_0,85,40.0,1,37,False
fill_height_col_0,86,880.0,20,90,False
fill_height_col_0,87,520.0,11,68,False
fill_height_col_0,88,600.0,10,64,False
fill_height_col_0,89,260.0,6,53,False
fill_height_col_0,90,780.0,18,86,False
fill_height_col_0,91,140.0,3,44,False
fill_height_col_0,92,720.0,18,81,False
fill_height_col_0,93,740.0,18,84,False
fill_height_col_0,94,1060.0,16,81,False
fill_height_col_0,95,740.0,14,75,False
fill_height_col_0,96,440.0,10,63,False
fill_height_col_0,97,40.0,1,40,False
fill_height_col_0,98,0.0,0,36,False
fill_height_col_0,99,1040.0,20,91,False
fill_height_col_1,0,0.0,0,37,False
fill_height_col_1,1,340.0,8,58,False
fill_height_col_1,2,560.0,13,71,False
fill_height_col_1,3,0.0,0,30,False
fill_height_col_1,4,40.0,1,41,False
fill_height_col_1,5,40.0,1,41,False
fill_height_col_1,6,1560.0,31,118,False
fill_height_col_1,7,780.0,18,85,False
fill_height_col_1,8,0.0,0,39,False
fill_height_col_1,9,0.0,0,36,False
fill_height_col_1,10,80.0,2,42,False
fill_height_col_1,11,80.0,2,40,False
fill_height_col_1,12,40.0,1,39,False
fill_height_col_1,13,700.0,17,81,False
fill_height_col_1,14,260.0,6,54,False
fill_height_col_1,15,80.0,2,42,False
fill_height_col_1,16,120.0,3,42,False
fill_height_col_1,17,0.0,0,39,False
fill_height_col_1,18,40.0,1,38,False
fill_height_col_1,19,300.0,7,56,False
fill_height_col_1,20,280.0,7,56,False
fill_height_col_1,21,180.0,4,49,False
fill_height_col_1,22,360.0,8,60,False
fill_height_col_1,23,680.0,17,83,False
fill_height_col_1,24,1880.0,45,152,False
fill_height_col_1,25,760.0,19,87,False
fill_height_col_1,26,80.0,2,40,False
fill_height_col_1,27,2180.0,38,135,False
fill_height_col_1,28,1740.0,17,81,False
fill_height_col_1,29,220.0,5,49,False
fill_height_col_1,30,580.0,12,70,False
fill_height_col_1,31,280.0,6,53,False
fill_height_col_1,32,800.0,14,74,False
fill_height_col_1,33,0.0,0,34,False
fill_height_col_1,34,360.0,9,59,False
fill_height_col_1,35,560.0,13,71,False
fill_height_col_1,36,0.0,0,34,False
fill_height_col_1,37,40.0,1,41,False
fill_height_col_1,38,800.0,15,78,False
fill_height_col_1,39,1460.0,34,124,False
fill_height_col_1,40,1000.0,19,85,False
fill_height_col_1,41,1380.0,25,100,False
fill_height_col_1,42,460.0,11,66,False
fill_height_col_1,43,680.0,15,78,False
fill_height_col_1,44,440.0,11,67,False
fill_height_col_1,45,520.0,8,57,False
fill_height_col_1,46,660.0,15,75,False
fill_height_col_1,47,1480.0,10,59,False
fill_height_col_1,48,240.0,6,53,False
fill_height_col_1,49,120.0,3,47,False
fill_height_col_1,50,700.0,17,81,False
fill_height_col_1,51,0.0,0,32,False
fill_height_col_1,52,320.0,7,57,False
fill_height_col_1,53,280.0,7,53,False
fill_height_col_1,54,40.0,1,42,False
fill_height_col_1,55,340.0,8,59,False
fill_height_col_1,56,260.0,6,54,False
fill_height_col_1,57,200.0,5,51,False
fill_height_col_1,58,120.0,3,46,False
fill_height_col_1,59,280.0,7,58,False
fill_height_col_1,60,800.0,17,85,False
fill_height_col_1,61,120.0,3,46,False
fill_height_col_1,62,520.0,12,66,False
fill_height_col_1,63,40.0,1,41,False
fill_height_col_1,64,540.0,12,68,False
fill_height_col_1,65,40.0,1,40,False
fill_height_col_1,66,440.0,11,65,False
fill_height_col_1,67,0.0,0,38,False
fill_height_col_1,68,0.0,0,41,False
fill_height_col_1,69,820.0,15,77,False
fill_height_col_1,70,260.0,6,53,False
fill_height_col_1,71,0.0,0,36,False
fill_height_col_1,72,600.0,10,63,False
fill_height_col_1,73,980.0,19,88,False
fill_height_col_1,74,140.0,3,46,False
fill_height_col_1,75,120.0,3,46,False
fill_height_col_1,76,880.0,20,88,False
fill_height_col_1,77,40.0,1,38,False
fill_height_col_1,78,240.0,6,53,False
fill_height_col_1,79,1820.0,39,134,False
fill_height_col_1,80,80.0,2,44,False
fill_height_col_1,81,120.0,3,46,False
fill_height_col_1,82,720.0,9,60,False
fill_height_col_1,83,40.0,1,42,False
fill_height_col_1,84,480.0,11,64,False
fill_height_col_1,85,160.0,4,51,False
fill_height_col_1,86,840.0,15,76,False
fill_height_col_1,87,960.0,22,95,False
fill_height_col_1,88,1220.0,23,97,False
fill_height_col_1,89,920.0,16,81,False
fill_height_col_1,90,0.0,0,38,False
fill_height_col_1,91,360.0,8,56,False
fill_height_col_1,92,500.0,11,65,False
fill_height_col_1,93,300.0,7,56,False
fill_height_col_1,94,0.0,0,38,False
fill_height_col_1,95,160.0,4,50,False
fill_height_col_1,96,280.0,6,54,False
fill_height_col_1,97,1300.0,26,105,False
fill_height_col_1,98,360.0,8,60,False
fill_height_col_1,99,120.0,3,44,False
fill_height_col_2,0,140.0,3,46,False
fill_height_col_2,1,880.0,20,90,False
fill_height_col_2,2,300.0,7,57,False
fill_height_col_2,3,380.0,9,60,False
fill_height_col_2,4,660.0,12,68,False
fill_height_col_2,5,580.0,13,72,False
fill_height_col_2,6,320.0,8,59,False
fill_height_col_2,7,400.0,9,62,False
fill_height_col_2,8,540.0,13,71,False
fill_height_col_2,9,0.0,0,36,False
fill_height_col_2,10,400.0,9,61,False
fill_height_col_2,11,80.0,2,44,False
fill_height_col_2,12,1000.0,19,86,False
fill_height_col_2,13,540.0,12,69,False
fill_height_col_2,14,200.0,5,53,False
fill_height_col_2,15,1320.0,7,55,False
fill_height_col_2,16,380.0,9,62,False
fill_height_col_2,17,880.0,21,93,False
fill_height_col_2,18,140.0,3,42,False
fill_height_col_2,19,1400.0,29,111,False
fill_height_col_2,20,320.0,7,59,False
fill_height_col_2,21,740.0,13,70,False
fill_height_col_2,22,600.0,10,65,False
fill_height_col_2,23,180.0,4,48,False
fill_height_col_2,24,960.0,22,93,False
fill_height_col_2,25,120.0,3,48,False
fill_height_col_2,26,100.0,2,42,False
fill_height_col_2,27,420.0,6,53,False
fill_height_col_2,28,600.0,15,78,False
fill_height_col_2,29,80.0,2,42,False
fill_height_col_2,30,640.0,11,68,False
fill_height_col_2,31,40.0,1,40,False
fill_height_col_2,32,1620.0,25,103,False
fill_height_col_2,33,1100.0,26,104,False
fill_height_col_2,34,200.0,5,49,False
fill_height_col_2,35,440.0,11,65,False
fill_height_col_2,36,540.0,13,74,False
fill_height_col_2,37,40.0,1,43,False
fill_height_col_2,38,1560.0,13,72,False
fill_height_col_2,39,680.0,15,77,False
fill_height_col_2,40,240.0,6,57,False
fill_height_col_2,41,40.0,1,40,False
fill_height_col_2,42,880.0,21,95,False
fill_height_col_2,43,340.0,8,60,False
fill_height_col_2,44,860.0,20,91,False
fill_height_col_2,45,700.0,16,79,False
fill_height_col_2,46,0.0,0,38,False
fill_height_col_2,47,1000.0,19,87,False
fill_height_col_2,48,1380.0,32,118,False
fill_height_col_2,49,200.0,5,51,False
fill_height_col_2,50,340.0,8,57,False
fill_height_col_2,51,540.0,12,67,False
fill_height_col_2,52,980.0,19,89,False
fill_height_col_2,53,1280.0,29,110,False
fill_height_col_2,54,820.0,15,78,False
fill_height_col_2,55,80.0,2,44,False
fill_height_col_2,56,0.0,0,34,False
fill_height_col_2,57,120.0,3,45,False
fill_height_col_2,58,540.0,12,68,False
fill_height_col_2,59,1800.0,34,123,False
fill_height_col_2,60,420.0,9,63,False
fill_height_col_2,61,1720.0,35,128,False
fill_height_col_2,62,160.0,4,49,False
fill_height_col_2,63,340.0,8,60,False
fill_height_col_2,64,460.0,10,61,False
fill_height_col_2,65,40.0,1,37,False
fill_height_col_2,66,2320.0,26,103,False
fill_height_col_2,67,960.0,19,88,False
fill_height_col_2,68,460.0,10,65,False
fill_height_col_2,69,80.0,2,40,False
fill_height_col_2,70,720.0,16,79,False
fill_height_col_2,71,1200.0,24,100,False
fill_height_col_2,72,1540.0,33,119,False
fill_height_col_2,73,200.0,5,52,False
fill_height_col_2,74,40.0,1,41,False
fill_height_col_2,75,340.0,8,54,False
fill_height_col_2,76,260.0,6,53,False
fill_height_col_2,77,1760.0,40,140,False
fill_height_col_2,78,320.0,7,57,False
fill_height_col_2,79,860.0,20,90,False
fill_height_col_2,80,100.0,2,42,False
fill_height_col_2,81,2260.0,25,101,False
fill_height_col_2,82,3120.0,40,139,False
fill_height_col_2,83,2160.0,26,106,False
fill_height_col_2,84,340.0,8,58,False
fill_height_col_2,85,140.0,3,46,False
fill_height_col_2,86,160.0,4,50,False
fill_height_col_2,87,1140.0,24,101,False
fill_height_col_2,88,540.0,13,74,False
fill_height_col_2,89,620.0,15,76,False
fill_height_col_2,90,900.0,22,92,False
fill_height_col_2,91,0.0,0,34,False
fill_height_col_2,92,600.0,10,63,False
fill_height_col_2,93,640.0,14,76,False
fill_height_col_2,94,1500.0,31,118,False
fill_height_col_2,95,300.0,3,45,False
fill_height_col_2,96,300.0,7,54,False
fill_height_col_2,97,2400.0,29,114,False
fill_height_col_2,98,0.0,0,35,False
fill_height_col_2,99,40.0,1,42,False
fill_height_col_3,0,120.0,3,45,False
fill_height_col_3,1,280.0,6,55,False
fill_height_col_3,2,600.0,14,75,False
fill_height_col_3,3,340.0,4,47,False
fill_height_col_3,4,640.0,15,78,False
fill_height_col_3,5,0.0,0,34,False
fill_height_col_3,6,80.0,2,43,False
fill_height_col_3,7,680.0,16,78,False
fill_height_col_3,8,120.0,3,48,False
fill_height_col_3,9,2600.0,33,123,False
fill_height_col_3,10,880.0,21,93,False
fill_height_col_3,11,0.0,0,37,False
fill_height_col_3,12,440.0,10,64,False
fill_height_col_3,13,1060.0,21,90,False
fill_height_col_3,14,620.0,14,74,False
fill_height_col_3,15,80.0,2,40,False
fill_height_col_3,16,80.0,2,43,False
fill_height_col_3,17,680.0,15,75,False
fill_height_col_3,18,120.0,3,42,False
fill_height_col_3,19,1000.0,23,97,False
fill_height_col_3,20,800.0,18,84,False
fill_height_col_3,21,1740.0,17,80,False
fill_height_col_3,22,580.0,14,71,False
fill_height_col_3,23,180.0,4,49,False
fill_height_col_3,24,240.0,5,54,False
fill_height_col_3,25,320.0,8,60,False
fill_height_col_3,26,1340.0,27,106,False
fill_height_col_3,27,1220.0,25,102,False
fill_height_col_3,28,0.0,0,36,False
fill_height_col_3,29,440.0,11,67,False
fill_height_col_3,30,580.0,14,74,False
fill_height_col_3,31,400.0,9,56,False
fill_height_col_3,32,1320.0,27,110,False
fill_height_col_3,33,1540.0,28,108,False
fill_height_col_3,34,0.0,0,38,False
fill_height_col_3,35,540.0,13,72,False
fill_height_col_3,36,0.0,0,39,False
fill_height_col_3,37,280.0,7,55,False
fill_height_col_3,38,820.0,11,63,False
fill_height_col_3,39,520.0,12,67,False
fill_height_col_3,40,440.0,11,68,False
fill_height_col_3,41,160.0,4,48,False
fill_height_col_3,42,40.0,1,39,False
fill_height_col_3,43,1620.0,14,74,False
fill_height_col_3,44,1060.0,25,99,False
fill_height_col_3,45,900.0,22,92,False
fill_height_col_3,46,640.0,11,64,False
fill_height_col_3,47,120.0,3,47,False
fill_height_col_3,48,540.0,8,58,False
fill_height_col_3,49,0.0,0,38,False
fill_height_col_3,50,720.0,13,70,False
fill_height_col_3,51,880.0,17,84,False
fill_height_col_3,52,40.0,1,39,False
fill_height_col_3,53,40.0,1,38,False
fill_height_col_3,54,140.0,3,48,False
fill_height_col_3,55,80.0,2,44,False
fill_height_col_3,56,420.0,10,65,False
fill_height_col_3,57,120.0,3,42,False
fill_height_col_3,58,520.0,12,70,False
fill_height_col_3,59,660.0,15,77,False
fill_height_col_3,60,440.0,10,63,False
fill_height_col_3,61,520.0,13,73,False
fill_height_col_3,62,120.0,3,44,False
fill_height_col_3,63,140.0,3,45,False
fill_height_col_3,64,260.0,6,53,False
fill_height_col_3,65,0.0,0,37,False
fill_height_col_3,66,480.0,11,68,False
fill_height_col_3,67,620.0,15,77,False
fill_height_col_3,68,120.0,3,43,False
fill_height_col_3,69,220.0,5,51,False
fill_height_col_3,70,780.0,18,84,False
fill_height_col_3,71,500.0,8,60,False
fill_height_col_3,72,140.0,3,43,False
fill_height_col_3,73,580.0,14,74,False
fill_height_col_3,74,120.0,3,43,False
fill_height_col_3,75,2180.0,23,98,False
fill_height_col_3,76,2600.0,51,168,False
fill_height_col_3,77,140.0,3,48,False
fill_height_col_3,78,120.0,3,43,False
fill_height_col_3,79,500.0,12,71,False
fill_height_col_3,80,160.0,4,48,False
fill_height_col_3,81,0.0,0,34,False
fill_height_col_3,82,400.0,9,60,False
fill_height_col_3,83,600.0,15,77,False
fill_height_col_3,84,640.0,11,66,False
fill_height_col_3,85,0.0,0,35,False
fill_height_col_3,86,540.0,12,71,False
fill_height_col_3,87,380.0,9,59,False
fill_height_col_3,88,900.0,21,91,False
fill_height_col_3,89,940.0,21,91,False
fill_height_col_3,90,660.0,15,80,False
fill_height_col_3,91,40.0,1,37,False
fill_height_col_3,92,120.0,3,47,False
fill_height_col_3,93,240.0,6,54,False
fill_height_col_3,94,800.0,19,87,False
fill_height_col_3,95,160.0,4,47,False
fill_height_col_3,96,140.0,3,47,False
fill_height_col_3,97,460.0,10,66,False
fill_height_col_3,98,480.0,12,67,False
fill_height_col_3,99,80.0,2,40,False
fill_height_col_4,0,720.0,13,73,False
fill_height_col_4,1,380.0,9,60,False
fill_height_col_4,2,300.0,7,55,False
fill_height_col_4,3,140.0,3,41,False
fill_height_col_4,4,1360.0,19,84,False
fill_height_col_4,5,220.0,5,55,False
fill_height_col_4,6,40.0,1,41,False
fill_height_col_4,7,780.0,18,86,False
fill_height_col_4,8,820.0,18,86,False
fill_height_col_4,9,0.0,0,36,False
fill_height_col_4,10,200.0,5,50,False
fill_height_col_4,11,920.0,13,71,False
fill_height_col_4,12,760.0,17,82,False
fill_height_col_4,13,400.0,10,62,False
fill_height_col_4,14,160.0,4,48,False
fill_height_col_4,15,1120.0,25,102,False
fill_height_col_4,16,360.0,8,58,False
fill_height_col_4,17,2040.0,43,148,False
fill_height_col_4,18,800.0,18,87,False
fill_height_col_4,19,1660.0,14,72,False
fill_height_col_4,20,220.0,5,51,False
fill_height_col_4,21,880.0,20,88,False
fill_height_col_4,22,0.0,0,35,False
fill_height_col_4,23,820.0,15,74,False
fill_height_col_4,24,900.0,21,92,False
fill_height_col_4,25,0.0,0,40,False
fill_height_col_4,26,0.0,0,36,False
fill_height_col_4,27,300.0,7,52,False
fill_height_col_4,28,680.0,16,76,False
fill_height_col_4,29,260.0,6,54,False
fill_height_col_4,30,40.0,1,40,False
fill_height_col_4,31,220.0,5,52,False
fill_height_col_4,32,1440.0,35,127,False
fill_height_col_4,33,260.0,6,52,False
fill_height_col_4,34,440.0,10,64,False
fill_height_col_4,35,940.0,22,93,False
fill_height_col_4,36,460.0,7,56,False
fill_height_col_4,37,280.0,7,55,False
fill_height_col_4,38,0.0,0,38,False
fill_height_col_4,39,160.0,4,52,False
fill_height_col_4,40,160.0,4,49,False
fill_height_col_4,41,3100.0,44,151,False
fill_height_col_4,42,200.0,5,50,False
fill_height_col_4,43,340.0,8,60,False
fill_height_col_4,44,1020.0,21,90,False
fill_height_col_4,45,300.0,7,55,False
fill_height_col_4,46,380.0,5,49,False
fill_height_col_4,47,1900.0,16,80,False
fill_height_col_4,48,1480.0,31,118,False
fill_height_col_4,49,0.0,0,32,False
fill_height_col_4,50,260.0,6,52,False
fill_height_col_4,51,1140.0,22,95,False
fill_height_col_4,52,440.0,10,64,False
fill_height_col_4,53,260.0,6,51,False
fill_height_col_4,54,40.0,1,39,False
fill_height_col_4,55,280.0,7,58,False
fill_height_col_4,56,440.0,10,66,False
fill_height_col_4,57,280.0,6,53,False
fill_height_col_4,58,340.0,8,58,False
fill_height_col_4,59,1240.0,20,92,False
fill_height_col_4,60,400.0,9,58,False
fill_height_col_4,61,80.0,2,46,False
fill_height_col_4,62,360.0,9,60,False
fill_height_col_4,63,0.0,0,37,False
fill_height_col_4,64,400.0,9,62,False
fill_height_col_4,65,540.0,13,72,False
fill_height_col_4,66,220.0,5,50,False
fill_height_col_4,67,1060.0,26,101,False
